time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.7036556368857405e-07,-5.420378348180164e-08,10.005047432041454,6.2831110345028325,0.000311023495951801,0.0,-3.1594956323353816e-05,-5.832893004693429e-06,0.16823713277414565,-0.0038365025130667873,0.013933751802201308,0.0,456.57851175744474,457.6885503307995,459.0958124028764,458.7913888761598
0.12000000000000001,-1.2436647953001928e-05,-2.916080597047435e-06,10.019482725283224,6.282947203151746,0.0010239640041058706,0.0,-0.00045511518174069635,-0.00011086629330310255,0.31291000738089353,-0.0006054144361990574,0.007426727567965334,0.0,451.5721743939284,451.0469394421108,450.3523151543691,450.6135959158545
0.18,-6.44181090535184e-05,-1.4901756199988922e-05,10.042300978614549,6.282884176785055,0.0019808928559088557,0.0,-0.0013568825521161965,-0.0002939520647247271,0.4476545445614616,-0.0019557600453945136,0.029083846747589407,0.0,445.6235268818887,447.38998989401745,449.36663002488643,449.2571956782601
0.23999999999999996,-0.00019751097763113907,-3.915325573416482e-05,10.073953830298498,6.294632200365413e-05,0.0033845210428689043,0.0,-0.003257820353100658,-0.0004968356662558761,0.607368249529426,0.018596164268468433,0.00847618063192733,0.0,456.53121106583956,454.88424727947717,454.8450843694677,456.4877267756763
0.3,-0.00045924512630371407,-6.383919419215962e-05,10.11170452385152,0.001194902887830196,0.004184593819808846,0.0,-0.005529195186371659,-0.00022077529509469736,0.6509637850018541,0.019400071594315806,0.021612929679776585,0.0,417.83177554643663,418.9752200975882,419.59346960170944,419.6632172068189
0.36000000000000004,-0.0008965373458094946,-4.339172747761281e-05,10.15696284699221,0.0024054505803992043,0.0051171468924744445,0.0,-0.009182836293643446,0.0010420576011158024,0.8575138206416127,0.02168365773487471,-0.0007743417929448153,0.0,471.3490155940418,469.6158611487142,469.34471341556633,469.52183970895993
0.4200000000000001,-0.0015379203359036136,6.592458818938838e-05,10.208388586820284,0.0032414746046471876,0.005419757445234374,0.0,-0.012209493191083538,0.0027020811768960736,0.8566777795098031,-0.009854774707939766,0.014687466188467063,0.0,404.19344071708986,405.58426412759763,405.3508335887513,402.50699944888873
0.48000000000000015,-0.002367555615005043,0.00028276146407673773,10.259529970333263,0.002902478143520071,0.006121396388948597,0.0,-0.015513747724061108,0.004486816306287021,0.8480412315269676,0.0016558523634561616,0.004910549307401383,0.0,403.0561762108466,402.1716143875331,400.3064457853771,401.3524667590132
0.5400000000000001,-0.0034244037011796407,0.0006115211467927932,10.313115109651333,0.003094452669343717,0.006678767049819179,0.0,-0.019758122406630267,0.006486442037224602,0.9380597707072746,0.0061210578978294905,0.016858011148816496,0.0,434.0900982299692,435.09128083351965,434.167164730817,434.5415264702079
0.6000000000000002,-0.004767047425886468,0.0010727745061930405,10.374558040871204,0.003187658658354131,0.008072389204556885,0.0,-0.025133725990762506,0.008916457705929961,1.1098855853707863,-0.00965715987857025,0.03362198397053587,0.0,459.4944009312667,460.8213268625393,460.5307614014147,459.2811933049498
0.6600000000000003,-0.006474531669825212,0.0016806093158557257,10.446945900259838,0.0030563252621513826,0.010934126295614632,0.0,-0.032073682350573965,0.011306518917922134,1.3028405285167897,0.009643972805631926,0.06671176566465552,0.0,465.15240454933405,467.73736164204837,466.2052657781272,467.71079122488095
0.7200000000000003,-0.008637189848732556,0.002423483758408016,10.52786220555048,0.003536202420331591,0.014928509275909718,0.0,-0.0404164444064988,0.013509137927953217,1.3942570168551647,0.0044839601794675246,0.06629430552151354,0.0,435.04675228389095,435.015207974138,436.9520231349099,436.52157338393465
0.7800000000000004,-0.011400098218882512,0.003311373817860613,10.615379204185937,0.003980584147349475,0.019488344581007233,0.0,-0.05213659130500741,0.016125062648203275,1.522805692751838,0.012690143544022967,0.09050806335301406,0.0,446.81977529264344,448.793580291224,447.4917447574608,448.15907803883437
0.8400000000000004,-0.014980814355387671,0.0043699211122214705,10.711171197216558,0.0047850462181120434,0.024689033214380984,0.0,-0.06779727785406132,0.019244314375316065,1.6700438428237951,0.014805491390428652,0.07764534879435664,0.0,454.34932755104563,453.3229808330801,453.9902518893195,454.15981431555167
0.9000000000000005,-0.0196498033003201,0.005640902282700274,10.817237350299575,0.00539272992957418,0.029325146037732175,0.0,-0.08836755184853617,0.023209537685982874,1.8651813225050267,-0.0014211245154195527,0.07650454985527168,0.0,468.4103755476486,468.32606255775545,469.9820680422112,468.7227023643082
0.9600000000000005,-0.02552643358550671,0.007135884712251468,10.930526158845415,0.0053855459681964035,0.033613187181875226,0.0,-0.10793759686244077,0.026618475320118413,1.9110224292006133,0.002363876592610059,0.0587819041709068,0.0,423.9929880688314,422.4718378592456,422.48840851674606,422.81460816627566
1.0200000000000005,-0.03277197812910179,0.00885437617826781,11.049965091064465,0.005497647123065441,0.037257863425806725,0.0,-0.13396861511740116,0.030677062181031663,2.0699853373715587,0.0008583375400594132,0.06440485234881595,0.0,459.08927119648763,459.5376694820723,458.46482513926173,458.3451566296506
1.0800000000000005,-0.0416153693837231,0.010813092460611767,11.177700556638449,0.006472008309171606,0.04097713718774454,0.0,-0.16120021243670643,0.03467683194041112,2.187627606745295,0.03644655576853949,0.056655975936791475,0.0,446.8460432017787,446.21667305809837,445.5591817425643,448.45910078721965
